Laura Stevenson: 
 second: HumusEliahu
 third: Liv
Charles Louis: 
 first: ObanKoban
 second: Zozobra
 third: MeatBarExpress
Jerry Evans: 
 first: Zozobra
 second: Giraffe
 third: Jems
Patricia Palmer: 
 first: MiCasa
 second: Zozobra
 third: Liv
Shanae Mesa: 
 first: Gutte
 second: MeatBarExpress
 third: Giraffe
Alan Marsh: 
 first: Zozobra
 second: Giraffe
 third: Gutte
Christene Jefferson: 
 first: Jems
 second: HumusEliahu
 third: Gutte
Dwayne Campbell: 
 first: Jems
 second: Zozobra
 third: ObanKoban
Maggie Arostegui: 
 first: Zozobra
 second: MeatBarExpress
 third: ObanKoban
Daniel Kelly: 
 first: ObanKoban
 second: Zozobra
 third: McDonalds
Dale Meeks: 
 first: McDonalds
 second: Gutte
 third: HumusEliahu
Nancy Perry: 
 first: Giraffe
 second: Gutte
 third: McDonalds
Diana Shore: 
 first: MiCasa
 second: Liv
 third: Giraffe
Francis Morrow: 
 first: Gutte
 second: Jems
 third: Giraffe
Lon Rutkowski: 
 first: KingGeorge
 second: MeatBarExpress
 third: HumusEliahu
Tommie Kozyra: 
 first: Liv
 second: KingGeorge
 third: Gutte
James Reyna: 
 first: Zozobra
 second: Liv
 third: Gutte
Christopher Broom: 
 first: MeatBarExpress
 second: ObanKoban
 third: Liv
Barney Cannon: 
 first: HumusEliahu
 second: MeatBarExpress
 third: ObanKoban
Ronald Mcinnis: 
 first: ObanKoban
 second: KingGeorge
 third: Giraffe
Donald Bintner: 
 first: Liv
 second: MiCasa
 third: HumusEliahu
Yadira Arnold: 
 first: McDonalds
 second: Jems
 third: Giraffe
Mary Manzanares: 
 first: Jems
 second: Zozobra
 third: HumusEliahu
Rhonda Moore: 
 first: MeatBarExpress
 second: Giraffe
 third: Zozobra
Barbara Edwards: 
 first: KingGeorge
 second: MiCasa
 third: ObanKoban
Barbara Menn: 
 first: Liv
 second: MiCasa
 third: Zozobra
Manuel Fisher: 
 first: Gutte
 second: KingGeorge
 third: HumusEliahu
Vera Aguilar: 
 first: Liv
 second: Gutte
 third: MiCasa
Wade Castro: 
 first: Liv
 second: HumusEliahu
 third: ObanKoban
Marilyn Hindle: 
 first: Liv
 second: HumusEliahu
 third: MeatBarExpress
Saul Chestnut: 
 first: HumusEliahu
 second: MiCasa
 third: McDonalds
Frederick Nelson: 
 first: KingGeorge
 second: MeatBarExpress
 third: McDonalds
Julie Strickland: 
 first: McDonalds
 second: Jems
 third: Gutte
Ronald Weeks: 
 first: Liv
 second: McDonalds
 third: HumusEliahu
Jesse Dwyer: 
 first: HumusEliahu
 second: KingGeorge
 third: Giraffe
Agnes Dejulio: 
 first: Jems
 second: MiCasa
 third: McDonalds
Gina Allen: 
 first: McDonalds
 second: Giraffe
 third: KingGeorge
Thomas Southward: 
 first: HumusEliahu
 second: Jems
 third: KingGeorge
Norma Purdy: 
 first: Gutte
 second: MiCasa
 third: Liv
Ruth Laux: 
 first: Jems
 second: McDonalds
 third: Zozobra
Karen Clark: 
 first: Gutte
 second: MiCasa
 third: Zozobra
Susan Burgess: 
 first: KingGeorge
 second: MeatBarExpress
 third: HumusEliahu
Mary Thomas: 
 first: ObanKoban
 second: Zozobra
 third: Gutte
Dino Hill: 
 first: ObanKoban
 second: Liv
 third: MeatBarExpress
Melissa Hampton: 
 first: McDonalds
 second: ObanKoban
 third: Giraffe
Rosemary Hartman: 
 first: MeatBarExpress
 second: Giraffe
 third: McDonalds
Leonila Brewer: 
 first: McDonalds
 second: Zozobra
 third: Gutte
Joyce Brown: 
 first: MeatBarExpress
 second: KingGeorge
 third: MiCasa
Kyung Rogers: 
 first: HumusEliahu
 second: Zozobra
 third: McDonalds
Kathryn Williams: 
 first: HumusEliahu
 second: Liv
 third: KingGeorge
Paul Mcdade: 
 first: Giraffe
 second: HumusEliahu
 third: McDonalds
Carol Bean: 
 first: Zozobra
 second: HumusEliahu
 third: Gutte
Jerry Barnhart: 
 first: MeatBarExpress
 second: McDonalds
 third: Gutte
Jay Kostura: 
 first: KingGeorge
 second: McDonalds
 third: Gutte
Norma Sage: 
 first: Liv
 second: Giraffe
 third: McDonalds
William Stallard: 
 first: Jems
 second: Gutte
 third: MeatBarExpress
Jessica Johnson: 
 first: Giraffe
 second: HumusEliahu
 third: Jems
Alfredo Taylor: 
 first: Jems
 second: MeatBarExpress
 third: Liv
Kara Welborn: 
 first: Jems
 second: Gutte
 third: MeatBarExpress
Edith Mcdaniel: 
 first: Giraffe
 second: McDonalds
 third: MiCasa
Cheryl Mcculloch: 
 first: Jems
 second: KingGeorge
 third: MiCasa
Dennis Jones: 
 first: Giraffe
 second: Zozobra
 third: Liv
Michael Walden: 
 first: KingGeorge
 second: McDonalds
 third: Jems
Mark Jones: 
 first: HumusEliahu
 second: MeatBarExpress
 third: McDonalds
Michael Mixon: 
 first: Liv
 second: ObanKoban
 third: KingGeorge
Dennis Huff: 
 first: MeatBarExpress
 second: Jems
 third: MiCasa
Susan Harris: 
 first: Liv
 second: Gutte
 third: Zozobra
Robert Jones: 
 first: KingGeorge
 second: HumusEliahu
 third: MiCasa
Darren Arrington: 
 first: KingGeorge
 second: ObanKoban
 third: MeatBarExpress
Adam Barlow: 
 first: McDonalds
 second: Jems
 third: MeatBarExpress
Roland Wall: 
 first: Zozobra
 second: HumusEliahu
 third: MeatBarExpress
Tonya Brown: 
 first: KingGeorge
 second: Gutte
 third: Giraffe
Lawrence Costello: 
 first: KingGeorge
 second: McDonalds
 third: Jems
Francisco Bond: 
 first: MeatBarExpress
 second: KingGeorge
 third: McDonalds
Christopher Pedregon: 
 first: ObanKoban
 second: MiCasa
 third: Liv
John White: 
 first: ObanKoban
 second: Giraffe
 third: Gutte
Janet Katz: 
 first: Gutte
 second: Giraffe
 third: McDonalds
Coralie Starling: 
 first: McDonalds
 second: Gutte
 third: Liv
Marcos Duty: 
 first: MiCasa
 second: KingGeorge
 third: Liv
Richard Bibber: 
 first: MiCasa
 second: Zozobra
 third: Liv
Curtis Mccarrel: 
 first: KingGeorge
 second: Giraffe
 third: McDonalds
Mark Cox: 
 first: ObanKoban
 second: MiCasa
 third: Zozobra
Virginia Guiterrez: 
 first: Giraffe
 second: Gutte
 third: MiCasa
Christiana Nelson: 
 first: KingGeorge
 second: MiCasa
 third: ObanKoban
Charles Boddie: 
 first: MeatBarExpress
 second: Gutte
 third: KingGeorge
Timothy Devore: 
 first: Liv
 second: Giraffe
 third: MiCasa
Janice Alas: 
 first: Giraffe
 second: McDonalds
 third: ObanKoban
Willie Cuevas: 
 first: ObanKoban
 second: MeatBarExpress
 third: MiCasa
Mary Diaz: 
 first: Gutte
 second: Liv
 third: Giraffe
Corrine Mcgarry: 
 first: McDonalds
 second: MiCasa
 third: Jems
Matthew Manning: 
 first: Gutte
 second: MeatBarExpress
 third: MiCasa
James Hemenway: 
 first: MiCasa
 second: Zozobra
 third: Jems
Jennifer Rivas: 
 first: Zozobra
 second: Liv
 third: MeatBarExpress
Margo Mcgowan: 
 first: Giraffe
 second: HumusEliahu
 third: ObanKoban
Mary Yates: 
 first: ObanKoban
 second: Giraffe
 third: KingGeorge
Chad Gonzalez: 
 first: HumusEliahu
 second: Liv
 third: MeatBarExpress
Dana Allen: 
 first: MiCasa
 second: ObanKoban
 third: KingGeorge
Robert Bird: 
 first: McDonalds
 second: KingGeorge
 third: Zozobra
Eunice Willian: 
 first: Giraffe
 second: ObanKoban
 third: Gutte
Katherine Kuehn: 
 first: Zozobra
 second: MeatBarExpress
 third: ObanKoban
Ashley Henry: 
 first: ObanKoban
 second: Jems
 third: KingGeorge
Linda Askew: 
 first: HumusEliahu
 second: Zozobra
 third: Liv
Richard Willcutt: 
 first: KingGeorge
 second: MeatBarExpress
 third: MiCasa
Elias Owens: 
 first: HumusEliahu
 second: McDonalds
 third: Jems
Jerry Williamson: 
 first: Zozobra
 second: MeatBarExpress
 third: HumusEliahu
Frank Williams: 
 first: Liv
 second: ObanKoban
 third: McDonalds
Elisabeth Gould: 
 first: Gutte
 second: MiCasa
 third: Zozobra
David Dilworth: 
 first: ObanKoban
 second: Gutte
 third: Jems
William Bass: 
 first: ObanKoban
 second: Liv
 third: Jems
Katie Danford: 
 first: MeatBarExpress
 second: Giraffe
 third: ObanKoban
Melissa Unch: 
 first: Liv
 second: HumusEliahu
 third: McDonalds
Richard Rezac: 
 first: Jems
 second: Zozobra
 third: Giraffe
Pauline Thomas: 
 first: ObanKoban
 second: Gutte
 third: MeatBarExpress
Barbara Jones: 
 first: McDonalds
 second: MiCasa
 third: Liv
Danny Clark: 
 first: ObanKoban
 second: Gutte
 third: Liv
Michael Graham: 
 first: Jems
 second: Liv
 third: KingGeorge
Mitchell Freeman: 
 first: McDonalds
 second: Gutte
 third: HumusEliahu
James Kellem: 
 first: MiCasa
 second: Giraffe
 third: Zozobra
Gary Branch: 
 first: MeatBarExpress
 second: McDonalds
 third: KingGeorge
Laurie Correia: 
 first: MeatBarExpress
 second: Jems
 third: KingGeorge
Edwin Magill: 
 first: Giraffe
 second: Jems
 third: McDonalds
Emily Valle: 
 first: Liv
 second: MiCasa
 third: McDonalds
Richard Saucier: 
 first: Giraffe
 second: Liv
 third: Gutte
Thomas Parker: 
 first: Liv
 second: MiCasa
 third: MeatBarExpress
Betty Killebrew: 
 first: KingGeorge
 second: MeatBarExpress
 third: Jems
Melinda Smith: 
 first: Giraffe
 second: KingGeorge
 third: MeatBarExpress
William Ross: 
 first: Gutte
 second: McDonalds
 third: MiCasa
Vincent Arceo: 
 first: Jems
 second: MeatBarExpress
 third: Giraffe
Ella Strunk: 
 first: HumusEliahu
 second: Jems
 third: Gutte
Wonda Brill: 
 first: McDonalds
 second: HumusEliahu
 third: Liv
Lupe Sibley: 
 first: Giraffe
 second: Gutte
 third: MeatBarExpress
Chester Williams: 
 first: ObanKoban
 second: Gutte
 third: KingGeorge
